date,base_price,cost,price,competitor_price,discount_pct,promo_flag,holiday_flag,inflation_index,unemployment_index,stock,quantity,revenue,margin,day_of_week,month,week_of_year,is_weekend,price_diff,relative_price_index,promo_intensity,unit_margin,stock_cover_ratio,lag_quantity_1,lag_quantity_7,rolling_quantity_7,rolling_price_7,product_id_SKU001,product_id_SKU002,product_id_SKU003,product_id_SKU004,product_id_SKU005,product_id_SKU006,product_id_SKU007,product_id_SKU008,product_id_SKU009,product_id_SKU010,product_id_SKU011,product_id_SKU012,product_id_SKU013,product_id_SKU014,product_id_SKU015,category_Beverages,category_Dairy,category_Household,category_Personal Care,category_Snacks,region_Gauteng,region_KwaZulu-Natal,region_Western Cape,store_format_Convenience,store_format_Hyper,store_format_Supermarket
2025-01-01,54.33,41.76,49.71,54.37,0.0851,0,0,100.11,29.77,180,134,6661.14,1065.3000000000004,2,1,1,0,-4.659999999999997,0.914290969284532,0.0851,7.950000000000003,1.3432835820895523,134.0,134.0,134.0,49.71,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2025-01-02,54.33,41.76,58.28,53.35,0.0,0,0,100.29,29.93,139,96,5594.88,1585.9200000000003,3,1,1,0,4.93,1.0924086223055296,0.0,16.520000000000003,1.4479166666666667,134.0,134.0,134.0,49.71,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2025-01-03,54.33,41.76,45.46,53.73,0.1633,1,0,100.28,30.29,261,201,9137.46,743.7000000000006,4,1,1,0,-8.269999999999996,0.8460822631676904,0.1633,3.700000000000003,1.2985074626865671,96.0,134.0,115.0,53.995000000000005,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2025-01-04,54.33,41.76,50.07,53.75,0.0784,0,0,100.51,30.06,178,154,7710.78,1279.7400000000002,5,1,1,1,-3.6799999999999997,0.9315348837209302,0.0784,8.310000000000002,1.155844155844156,201.0,134.0,143.66666666666666,51.15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2025-01-05,54.33,41.76,49.73,52.57,0.0846,0,0,99.89,29.93,139,134,6663.82,1067.9799999999998,6,1,1,1,-2.8400000000000034,0.9459767928476317,0.0846,7.969999999999999,1.037313432835821,154.0,134.0,146.25,50.88,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
2025-01-06,54.33,41.76,50.92,54.35,0.0627,0,0,99.92,30.22,219,153,7790.76,1401.4800000000005,0,1,2,0,-3.4299999999999997,0.9368905243790249,0.0627,9.160000000000004,1.4313725490196079,134.0,134.0,143.8,50.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2025-01-07,54.33,41.76,58.25,55.9,0.0,0,0,100.0,30.15,130,107,6232.75,1764.4300000000003,1,1,2,0,2.3500000000000014,1.0420393559928445,0.0,16.490000000000002,1.2149532710280373,153.0,134.0,145.33333333333334,50.695,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2025-01-08,54.33,41.76,52.41,53.58,0.0354,0,0,100.02,30.31,191,152,7966.32,1618.7999999999995,2,1,2,0,-1.1700000000000017,0.9781634938409854,0.0354,10.649999999999999,1.256578947368421,107.0,134.0,139.85714285714286,51.77428571428572,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2025-01-09,54.33,41.76,49.3,52.11,0.0926,0,0,100.09,30.02,122,100,4930.0,753.9999999999999,3,1,2,0,-2.8100000000000023,0.9460756092880445,0.0926,7.539999999999999,1.22,152.0,96.0,142.42857142857142,52.160000000000004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2025-01-10,54.33,41.76,50.87,53.17,0.0637,1,0,100.85,30.21,128,128,6511.36,1166.08,4,1,2,0,-2.3000000000000043,0.9567425239796877,0.0637,9.11,1.0,100.0,201.0,143.0,50.87714285714286,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
